question,label
강아지 눈 관련...,S-ANIMAL O O
고양이 눈 관련...,S-ANIMAL O O
눈 관련,S-ANIMAL O
고양이 눈,S-ANIMAL O
강아지 눈,S-ANIMAL O
개 눈,S-ANIMAL O
고양이 안구,S-ANIMAL O
강아지 안구,S-ANIMAL O
개 안구,S-ANIMAL O
고양이 눈 이상,S-ANIMAL O O
강아지 눈 이상,S-ANIMAL O O
개 눈 이상,S-ANIMAL O O
눈 이상,O O
눈 관련...,O O
고양이 눈이 이상해요,S-ANIMAL O O
강아지 눈이 이상해요,S-ANIMAL O O
개 눈이 이상해요,S-ANIMAL O O
눈이 이상해요,S-ANIMAL O
고양이 눈이 이상하고 무기력해요,S-ANIMAL O O S-SYMPTOM1
강아지 눈이 이상하고 무기력해요,S-ANIMAL O O S-SYMPTOM1
개 눈이 이상하고 무기력해요,S-ANIMAL O O S-SYMPTOM1
고양이가 무기력하고 눈이 이상해요,S-ANIMAL S-SYMPTOM1 O O
강아지가 무기력하고 눈이 이상해요,S-ANIMAL S-SYMPTOM1 O O
개가 무기력하고 눈이 이상해요,S-ANIMAL S-SYMPTOM1 O O
강아지 눈이 이상하고 창백해요,S-ANIMAL O O S-SYMPTOM1
고양이 눈이 이상하고 무기력,S-ANIMAL O O S-SYMPTOM1
강아지 눈이 이상하고 무기력,S-ANIMAL O O S-SYMPTOM1
개 눈이 이상하고 무기력,S-ANIMAL O O S-SYMPTOM1
눈이 이상하고 무기력해요,O O S-SYMPTOM1
눈이 이상하고 무기력,O O S-SYMPTOM1
눈이 이상해요,O O
저희집 개 눈이 이상해요,O S-ANIMAL O O
저희집 개 눈이 이상하고 무기력해요,O S-ANIMAL O O S-SYMPTOM1
저희집 개 눈이 이상하고 창백해요,O S-ANIMAL O O S-SYMPTOM1
강아지 눈 관련 질문드립니다,S-ANIMAL O O O
고양이 눈 관련 질문드립니다,S-ANIMAL O O O
개 눈 관련 질문드립니다,S-ANIMAL O O O
강아지 눈 관련 질문드려요,S-ANIMAL O O O
고양이 눈 관련 질문드려요,S-ANIMAL O O O
개 눈 관련 질문드려요,S-ANIMAL O O O
눈 관련 질문드려요,O O O
저희집 개 눈이 이상해요,S-ANIMAL O O O
강아지 눈이 왜 이럴까요?,S-ANIMAL O O O
고양이 눈이 왜 이럴까요?,S-ANIMAL O O O
눈에 눈곱이 많이 나고 눈을 못떠요,O S-SYMPTOM1 O O O O
강아지 눈 부음,S-ANIMAL O O
고양이 눈 부음,S-ANIMAL O O
강아지 눈 붓기,S-ANIMAL O O
고양이 눈 붓기,S-ANIMAL O O
개 눈 부음,S-ANIMAL O O
개 눈 붓기,S-ANIMAL O O
눈이 빨갛고 부어있어요,S-ANIMAL O O
눈이 충혈되고 부어있어요,S-ANIMAL O O
눈이 실명됐어요,S-ANIMAL O
강아지 눈에 뭐가 들어간것같아요,S-ANIMAL O O O
고양이 눈에 뭐가 들어간것같아요,S-ANIMAL O O O
강아지 눈에 점,S-ANIMAL O O
고양이 눈에 점,S-ANIMAL O O
눈에 점,O O
강아지 눈에 이상한게 났어요,S-ANIMAL O O O
고양이 눈에 이상한게 났어요,S-ANIMAL O O O
강아지 눈 좀 봐주세요,S-ANIMAL O O O
고양이 눈 좀 봐주세요,S-ANIMAL O O O
눈 좀 봐주세요,O O O
강아지 눈에 노란색 눈곱,S-ANIMAL O O S-SYMPTOM1
고양이 눈에 노란색 눈곱,S-ANIMAL O O S-SYMPTOM1
눈에 노란색 눈곱,O O S-SYMPTOM1
강아지 눈,S-ANIMAL O
고양이 눈,S-ANIMAL O
강아지 눈 다래끼 충혈,S-ANIMAL O O S-SYMPTOM1
고양이 눈 다래끼 충혈,S-ANIMAL O O S-SYMPTOM1
눈 다래끼 충혈,O O S-SYMPTOM1
강아지 눈 흰자가 갈색인데 무슨 문제있는건가요?,S-ANIMAL O O O O O
고양이 눈 흰자가 갈색인데 무슨 문제있는건가요?,S-ANIMAL O O O O O
눈 흰자가 갈색인데 무슨 문제있는건가요?,O O O O O
강아지 눈이 튀어나왔어요,S-ANIMAL O O
고양이 눈이 튀어나왔어요,S-ANIMAL O O
눈이 튀어나왔어요,O O
강아지 눈 건강,S-ANIMAL O O
고양이 눈 건강,S-ANIMAL O O
눈 건강,O O
강아지 눈밑에 피,S-ANIMAL O O
고양이 눈밑에 피,S-ANIMAL O O
눈밑에 피,O O
강아지 눈 주위 빨감,S-ANIMAL O O O
고양이 눈 주위 빨감,S-ANIMAL O O O
눈 주위 빨감,O O O
