question,label
강아지 저체온,S-ANIMAL S-SYMPTOM1
강아지 거친피모,S-ANIMAL S-SYMPTOM1
강아지 곤두선털,S-ANIMAL S-SYMPTOM1
강아지 과각화증,S-ANIMAL S-SYMPTOM1
강아지 난산,S-ANIMAL S-SYMPTOM1
강아지 무기력,S-ANIMAL S-SYMPTOM1
강아지 침울,S-ANIMAL S-SYMPTOM1
강아지 졸림,S-ANIMAL S-SYMPTOM1
강아지 생기없음,S-ANIMAL S-SYMPTOM1
강아지 발육정지,S-ANIMAL S-SYMPTOM1
강아지 변비,S-ANIMAL S-SYMPTOM1
강아지 배변안됨,S-ANIMAL S-SYMPTOM1
강아지 비만,S-ANIMAL S-SYMPTOM1
강아지 체중과다,S-ANIMAL S-SYMPTOM1
강아지 과제충,S-ANIMAL S-SYMPTOM1
강아지 서맥,S-ANIMAL S-SYMPTOM1
강아지 식욕부진,S-ANIMAL S-SYMPTOM1
강아지 식욕감소,S-ANIMAL S-SYMPTOM1
강아지 식욕절폐,S-ANIMAL S-SYMPTOM1
강아지 저체온,S-ANIMAL S-SYMPTOM1
강아지 낮은체온,S-ANIMAL S-SYMPTOM1
강아지 탈모,S-ANIMAL S-SYMPTOM1
강아지 무로,S-ANIMAL S-SYMPTOM1
강아지 좌각차단,S-ANIMAL S-SYMPTOM1
강아지 우각차단,S-ANIMAL S-SYMPTOM1
강아지 양각차단,S-ANIMAL S-SYMPTOM1
강아지 홍반,S-ANIMAL S-SYMPTOM1
강아지 발적,S-ANIMAL S-SYMPTOM1
강아지 다뇨증,S-ANIMAL S-SYMPTOM1
강아지 다식증,S-ANIMAL S-SYMPTOM1
강아지 과도한식욕,S-ANIMAL S-SYMPTOM1
강아지 다음,S-ANIMAL S-SYMPTOM1
강아지 빠른호흡,S-ANIMAL S-SYMPTOM1
강아지 과호흡,S-ANIMAL S-SYMPTOM1
강아지 떨림,S-ANIMAL S-SYMPTOM1
강아지 오한,S-ANIMAL S-SYMPTOM1
강아지 발열,S-ANIMAL S-SYMPTOM1
강아지 고열,S-ANIMAL S-SYMPTOM1
강아지 발작,S-ANIMAL S-SYMPTOM1
강아지 실신,S-ANIMAL S-SYMPTOM1
강아지 경련,S-ANIMAL S-SYMPTOM1
강아지 간질발작,S-ANIMAL S-SYMPTOM1
강아지 부정맥,S-ANIMAL S-SYMPTOM1
강아지 흉강소리,S-ANIMAL S-SYMPTOM1
강아지 비정상적행동,S-ANIMAL S-SYMPTOM1
강아지 설사,S-ANIMAL S-SYMPTOM1
강아지 수척,S-ANIMAL S-SYMPTOM1
강아지 건강상태불량,S-ANIMAL S-SYMPTOM1
강아지 심장잡음,S-ANIMAL S-SYMPTOM1
강아지 운동실조,S-ANIMAL S-SYMPTOM1
강아지 협조불능,S-ANIMAL S-SYMPTOM1
강아지 절뚝거림,S-ANIMAL S-SYMPTOM1
강아니 넘어짐,S-ANIMAL S-SYMPTOM1
강아지 재채기,S-ANIMAL S-SYMPTOM1
강아지 전신허약,S-ANIMAL S-SYMPTOM1
강아지 부전마비,S-ANIMAL S-SYMPTOM1
강아지 마비,S-ANIMAL S-SYMPTOM1
강아지 지각과민,S-ANIMAL S-SYMPTOM1
강아지 예민함,S-ANIMAL S-SYMPTOM1
강아지 과다운동,S-ANIMAL S-SYMPTOM1
강아지 체중감소,S-ANIMAL S-SYMPTOM1
강아지 혈뇨,S-ANIMAL S-SYMPTOM1
강아지 폐음감소,S-ANIMAL S-SYMPTOM1
강아지 탈수,S-ANIMAL S-SYMPTOM1
강아지 호흡곤란,S-ANIMAL S-SYMPTOM1
강아지 개구호흡,S-ANIMAL S-SYMPTOM1
강아지 그르렁거림,S-ANIMAL S-SYMPTOM1
강아지 가쁜호흡,S-ANIMAL S-SYMPTOM1
강아지 후두,S-ANIMAL S-SYMPTOM1
강아지 인두종창,S-ANIMAL S-SYMPTOM1
강아지 흥분,S-ANIMAL S-SYMPTOM1
강아지 헛소리,S-ANIMAL S-SYMPTOM1
강아지 광분,S-ANIMAL S-SYMPTOM1
강아지 판누스,S-ANIMAL S-SYMPTOM1
강아지 안구건조증,S-ANIMAL S-SYMPTOM1
