question,label
고양이 피부가 이상해요,S-ANIMAL O O
강아지 피부가 이상해요,S-ANIMAL O O
개 피부가 이상해요,S-ANIMAL O O
고양이 피부가 이상하고 식욕이 없어요,S-ANIMAL O O S-SYMPTOM1 O
강아지 피부가 이상하고 식욕이 없어요,S-ANIMAL O O S-SYMPTOM1 O
제가 친구들이랑 돌보는 고양이인데 이거 곰팡이 피부병 인가요??,O O O S-ANIMAL O S-SYMPTOM1 O O
제가 친구들이랑 돌보는 강아지인데 이거 곰팡이 피부병 인가요??,O O O S-ANIMAL O S-SYMPTOM1 O O
고양이 상처?,S-ANIMAL O
강아지 상처?,S-ANIMAL O
상처?,O
귀 붓기,S-AREA O
길고양이 좁쌀처럼 생긴 하얀 진드기,S-ANIMAL O O O O
강아지 좁쌀처럼 생긴 하얀 진드기,S-ANIMAL O O O O
개 좁쌀처럼 생긴 하얀 진드기,S-ANIMAL O O O O
사진의 진드기의 종류가 무엇인가요?,O O O O
이게 곰팡이성 피부질환인가요?,O S-SYMPTOM1 O
자주 보이는 길고양이인데 다리에 상처가 있습니다.,O O S-ANIMAL O O O
고양이 피부병인가요?,S-ANIMAL O
강아지 피부병인가요?,S-ANIMAL O
개 피부병인가요?,S-ANIMAL O
피부병인가요?,O
이거 고양이 진드기인가요?,O S-ANIMAL O
이거 강아지 진드기인가요?,O S-ANIMAL O
저희 고양이가 입주변에 상처?뾰루지?,O S-ANIMAL O O
지금 등 쪽에 딱딱한 멍울이 생겼어요 ㅠ,O O O O O O O
고양이 엉덩이 옆에 욕창 같은게 생겼어요,S-ANIMAL O O S-SYMPTOM1 O O
강아지 엉덩이 옆에 욕창 같은게 생겼어요,S-ANIMAL O O S-SYMPTOM1 O O
개 엉덩이 옆에 욕창 같은게 생겼어요,S-ANIMAL O O S-SYMPTOM1 O O
엉덩이 옆에 욕창 같은게 생겼어요,O O S-SYMPTOM1 O O
링웜이맞는지 검사는필요없나요?,O O
고양이 링웜,S-ANIMAL O
링웜,O
링웜인가요??,O
고양이가 피부병에 걸렸어요,S-ANIMAL O O
고양이 3개월 됐고 귀에 있는 진드기 치료중입니다,S-ANIMAL O O O O O O
귀에 있는 진드기 치료중입니다,O O O O
고양이 눈에서 상처 자국이 보입니다.,S-ANIMAL S-AREA O O O
강아지 눈에서 상처 자국이 보입니다.,S-ANIMAL S-AREA O O O
개 눈에서 상처 자국이 보입니다.,S-ANIMAL S-AREA O O O
눈에서 상처 자국이 보입니다.,S-AREA O O O
처음에는 털이 들어간줄 알았는데 상처더군요.,O O O O O
고양이 혓바닥에 상처들이 있어요,S-ANIMAL S-AREA O O
강아지 혓바닥에 상처들이 있어요,S-ANIMAL S-AREA O O
개 혓바닥에 상처들이 있어요,S-ANIMAL S-AREA O O
혓바닥에 상처들이 있어요,S-AREA O O
고양이가 진드기에 물렸어요,S-ANIMAL O O
개가 진드기에 물렸어요,S-ANIMAL O O
강아지가 진드기에 물렸어요,S-ANIMAL O O
진드기에 물렸어요,O O
