question,label
한 일주일전에 새벽에 토랑 설사를 4번이나 했었어요.,O O O O O O O
한 1주일정도 노란색 구토를 합니다.,O O O O O
하얀색 토를 4번이나 해요,O O O O
피토,O
피 섞인 노란 토, O O O
토해요...,O
토해요,O
토한후에 사료는 아직 안먹고있어요,O O O O
토하고 식욕이 없어요,O S-SYMPTOM1 O
토하고 설사,O S-SYMPTOM1
토하고 몸의 근육이 다 이완 된 것 처럼 보입니다,O O O O O O O O O
토에서 꿈틀거리는 것이 나왔습니다.,O O O O
토사물을 보면 그냥 하얀색깔 토구요,O O O O O
토를해요,O
토를 했어요,O O
토를 했습니다.,O O
토를 했는데 토에서 회충같은게 나왔습니다.,O O O O O
토를 해요,O O
토를 한후 밥을 안먹어요,O O O O
토를 한10회가량 하였습니다 노란토,O O O O
토를 자주해요,O O
토를 근데 10분에 한번꼴로 계속하는데,O O O O O
토?,O
토 질문합니다,O O
토 질문,O O
토 좀 봐주세요,O O O
토 문제 있나요?,O O O
토 기운없음 식욕부진,O O O
토,O
키우던 고양이가 토를 한후 밥을 안먹어요,O S-ANIMAL O O O O
키우던 강아지가 토를 한후 밥을 안먹어요,O S-ANIMAL O O O O
최근 무마취로 미용후에 토를 자꾸하네요,O O O O O
좀 자주 토를 해요 ㅠㅠ,O O O O O
제가 안 본 사이에 피 섞인 노란 토를 해놨어요,O O O O O O O O O
저희집 고양이가 자주 토해요,O S-ANIMAL O O
저희집 고양이가 자주 구토해요,O S-ANIMAL O O
저희집 강아지가 자주 토해요,O S-ANIMAL O O
저희집 강아지가 자주 구토해요,O S-ANIMAL O O
저희 집 강아지가 갑자기 눈이 하얘지고 구토하고 밥도 못먹고 그래요,O O S-ANIMAL O O O O O O O
자주 토해요,O O
자주 구토해요,O O
자꾸 토해요,O O
자꾸 토하네,O O
자꾸 사료를 토해요,O O O
이제 1년 지난 고양이가 오늘 갑자기 토를 하네요.,O O O S-ANIMAL O O O O
이제 1년 지난 강아지가 오늘 갑자기 토를 하네요.,O O O S-ANIMAL O O O O
음식을 많이먹어서 그런건지 계속 토해요,O O O O O
오늘 점심 1시경에 강아지가 갑자기 토를 하더니 조금전에 또 토를 했어요.,O O O S-ANIMAL O O O O O O O
오늘 갑자기 토를 하네요.,O O O O
오늘 갑자기 고양이가 토했어요.,O O S-ANIMAL O
오늘 2~3번 토했고요.,O O O
약 먹고 잘 지냈는데 오늘 보니까 흰색 토를 또 해놨네요ㅠㅠㅠ,O O O O O O O O O O
아기고양이 사료 토하고 설사,S-ANIMAL S-SYMPTOM1 S-SYMPTOM2 O
"아기강아지 공복토, 사료 잘 안먹을때",S-ANIMAL O O O O
식후엔 갈색토,O O
식후 갈색토,O O
성묘 구토,O O
성견 구토,O O
"설사, 구토",S-SYMPTOM1 O
섞인 토 했어요 병원 가야 되나요?,O O O O O O
새벽 6시쯤에 저희 다 자고 있는데 갑자기 토했어요.,O O O O O O O O
"새끼고양이 범백 치료 중에 설사,물토 증상이 있는데요",S-ANIMAL O O O O O O
새끼 강아지 목욕 후 구토 및 발작,O S-ANIMAL O O O O O
사료만먹으면 토를해요.,O O
사료를 토해요,O O
사료 토,O O
사료 구토,O O
불투명한 끈적한 물가래 비슷한걸 토합니다,O O O O O
변도 잘 누고 소변도 잘 눴는데 갑자기 토를 하니..,O O O O O O O O O
방금 고양이가 토했어,O S-ANIMAL O
방금 고양이가 토를 했어,O S-ANIMAL O O
방금 고양이가 토 했어,O S-ANIMAL O O
방금 강아지가 토했어,O S-ANIMAL O
방금 강아지가 토를 했어,O S-ANIMAL O O
방금 강아지가 토 했어,O S-ANIMAL O O
"동물병원 약을 자꾸 뱉고 토하고 그러는데요,",O O O O O O
껌을 먹고 토해요 급합니다,O O O O
기생충을 토했어요..,O O
기생충을 토했어,O O
기생충을 토해,O O
기생충을 토하네,O O
기생충 토,O O
근데 어제 부터 토를 반복적으로 많이 해요 ㅠㅠ,O O O O O O O O
근데 어제 먹은걸 한 번 토했길래 혹시나 싶어서,O O O O O O O O
구토와 식욕없음,O S-SYMPTOM1
구토만 대여섯번 했나.. 침대에도 있고..,O O O O O
구토를 자주해요,O O
구토?,O
"구토, 설사 혈변, 떠는증상",O S-SYMPTOM1 S-SYMPTOM2 O
구토 하고 설사를 합니다,O O S-SYMPTOM1 O
구토 침흘림,O S-SYMPTOM1
구토 창백,O S-SYMPTOM1
구토 안절부절,O S-SYMPTOM1
구토 사팔눈,O S-SYMPTOM1
구토 무기력,O S-SYMPTOM1
구토 땀흘림,O S-SYMPTOM1
구토 늘어짐,O S-SYMPTOM1
구토,O
구역질,O
"공복토, 사료 잘 안먹을때",O O O O
고양이는 헤어볼을 토하잖아요,S-ANIMAL O O
고양이나 강아지가 안보는사이에 토를한건지 뭔지 모르겠어요;;,S-ANIMAL S-ANIMAL O O O O
고양이가 헤어볼 토할때,S-ANIMAL O O
고양이가 헉헉대면서 계속 헛구역질을합니다,S-ANIMAL O O O
고양이가 토했어요 ㅠㅠ,S-ANIMAL O O
